query_id,query_type,primary_cat,region,query_privilege,lambda,n_candidates,precision_at_10,ndcg_at_10,mrr,srr,spd,privileged_count,privileged_pct,corpus_baseline
cs_neutral_000,neutral,Machine Learning,Unknown,Unknown,0.3,50,0.7,0.981544,1.0,2.333333,0.12,7,70.0,0.58
cs_neutral_000,neutral,Machine Learning,Unknown,Unknown,0.5,50,0.7,0.964241,1.0,2.333333,0.12,7,70.0,0.58
cs_neutral_000,neutral,Machine Learning,Unknown,Unknown,0.7,50,0.8,0.996349,1.0,2.333333,0.12,7,70.0,0.58
cs_neutral_000,neutral,Machine Learning,Unknown,Unknown,0.9,50,0.7,0.980377,1.0,2.333333,0.12,7,70.0,0.58
cs_neutral_001,neutral,Machine Learning,Unknown,Unknown,0.3,50,0.2,0.790386,1.0,1.5,0.02,6,60.0,0.58
cs_neutral_001,neutral,Machine Learning,Unknown,Unknown,0.5,50,0.3,0.851959,1.0,1.5,0.02,6,60.0,0.58
cs_neutral_001,neutral,Machine Learning,Unknown,Unknown,0.7,50,0.5,0.806327,1.0,4.0,0.22,8,80.0,0.58
cs_neutral_001,neutral,Machine Learning,Unknown,Unknown,0.9,50,0.6,0.824515,1.0,4.0,0.22,8,80.0,0.58
cs_neutral_002,neutral,Machine Learning,Unknown,Unknown,0.3,50,0.5,0.803314,1.0,2.333333,0.12,7,70.0,0.58
cs_neutral_002,neutral,Machine Learning,Unknown,Unknown,0.5,50,0.4,0.875646,1.0,1.5,0.02,6,60.0,0.58
cs_neutral_002,neutral,Machine Learning,Unknown,Unknown,0.7,50,0.6,0.965137,1.0,1.5,0.02,6,60.0,0.58
cs_neutral_002,neutral,Machine Learning,Unknown,Unknown,0.9,50,0.7,0.959452,1.0,2.333333,0.12,7,70.0,0.58
cs_neutral_003,neutral,Machine Learning,Unknown,Unknown,0.3,50,0.1,1.0,1.0,1.5,0.02,6,60.0,0.58
cs_neutral_003,neutral,Machine Learning,Unknown,Unknown,0.5,50,0.2,0.850345,1.0,2.333333,0.12,7,70.0,0.58
cs_neutral_003,neutral,Machine Learning,Unknown,Unknown,0.7,50,0.2,1.0,1.0,2.333333,0.12,7,70.0,0.58
cs_neutral_003,neutral,Machine Learning,Unknown,Unknown,0.9,50,0.2,1.0,1.0,2.333333,0.12,7,70.0,0.58
cs_neutral_004,neutral,Machine Learning,Unknown,Unknown,0.3,50,0.0,0.0,0.0,1.0,-0.08,5,50.0,0.58
cs_neutral_004,neutral,Machine Learning,Unknown,Unknown,0.5,50,0.1,0.30103,0.111111,1.0,-0.08,5,50.0,0.58
