query_id,query_type,primary_cat,region,query_privilege,lambda,n_candidates,avg_relevance,intra_list_div,mmr_score,ndcg_at_10,mrr,base_avg_rel,base_ild,base_ndcg,base_mrr,mmr_privileged_count,mmr_privileged_pct,base_privileged_count,base_privileged_pct
cs_neutral_000,neutral,Machine Learning,Unknown,Unknown,0.3,50,0.508274,0.629987,0.593473,0.97408,1.0,0.587561,0.492734,0.989767,1.0,7,70.0,6,60.0
cs_neutral_000,neutral,Machine Learning,Unknown,Unknown,0.5,50,0.566506,0.562892,0.564699,0.985764,1.0,0.587561,0.492734,0.989767,1.0,7,70.0,6,60.0
cs_neutral_000,neutral,Machine Learning,Unknown,Unknown,0.7,50,0.592435,0.520107,0.570737,0.998652,1.0,0.587561,0.492734,0.989767,1.0,7,70.0,6,60.0
cs_neutral_000,neutral,Machine Learning,Unknown,Unknown,0.9,50,0.597052,0.496211,0.586968,0.99988,1.0,0.587561,0.492734,0.989767,1.0,7,70.0,6,60.0
cs_neutral_001,neutral,Machine Learning,Unknown,Unknown,0.3,50,0.501824,0.659238,0.612013,0.967793,1.0,0.59534,0.472787,0.998736,1.0,6,60.0,7,70.0
cs_neutral_001,neutral,Machine Learning,Unknown,Unknown,0.5,50,0.566038,0.59159,0.578814,0.982659,1.0,0.59534,0.472787,0.998736,1.0,6,60.0,7,70.0
cs_neutral_001,neutral,Machine Learning,Unknown,Unknown,0.7,50,0.599082,0.524783,0.576792,0.992556,1.0,0.59534,0.472787,0.998736,1.0,8,80.0,7,70.0
cs_neutral_001,neutral,Machine Learning,Unknown,Unknown,0.9,50,0.61676,0.450528,0.600136,0.999776,1.0,0.59534,0.472787,0.998736,1.0,8,80.0,7,70.0
cs_neutral_002,neutral,Machine Learning,Unknown,Unknown,0.3,50,0.473732,0.601094,0.562885,0.969944,1.0,0.546502,0.506008,0.975622,1.0,7,70.0,6,60.0
cs_neutral_002,neutral,Machine Learning,Unknown,Unknown,0.5,50,0.526029,0.554943,0.540486,0.995735,1.0,0.546502,0.506008,0.975622,1.0,6,60.0,6,60.0
cs_neutral_002,neutral,Machine Learning,Unknown,Unknown,0.7,50,0.561437,0.498758,0.542633,0.995226,1.0,0.546502,0.506008,0.975622,1.0,6,60.0,6,60.0
cs_neutral_002,neutral,Machine Learning,Unknown,Unknown,0.9,50,0.567806,0.472844,0.55831,0.999309,1.0,0.546502,0.506008,0.975622,1.0,7,70.0,6,60.0
cs_neutral_003,neutral,Machine Learning,Unknown,Unknown,0.3,50,0.410268,0.724447,0.630194,0.961093,1.0,0.482954,0.577827,0.947113,1.0,6,60.0,8,80.0
cs_neutral_003,neutral,Machine Learning,Unknown,Unknown,0.5,50,0.478866,0.673168,0.576017,0.961365,1.0,0.482954,0.577827,0.947113,1.0,7,70.0,8,80.0
cs_neutral_003,neutral,Machine Learning,Unknown,Unknown,0.7,50,0.509788,0.614502,0.541202,0.99821,1.0,0.482954,0.577827,0.947113,1.0,7,70.0,8,80.0
cs_neutral_003,neutral,Machine Learning,Unknown,Unknown,0.9,50,0.523496,0.52099,0.523245,0.999903,1.0,0.482954,0.577827,0.947113,1.0,7,70.0,8,80.0
cs_neutral_004,neutral,Machine Learning,Unknown,Unknown,0.3,50,0.417349,0.651818,0.581477,0.983523,1.0,0.509977,0.445356,0.979188,1.0,5,50.0,8,80.0
cs_neutral_004,neutral,Machine Learning,Unknown,Unknown,0.5,50,0.444508,0.622033,0.53327,0.980094,1.0,0.509977,0.445356,0.979188,1.0,5,50.0,8,80.0
cs_neutral_004,neutral,Machine Learning,Unknown,Unknown,0.7,50,0.517385,0.470606,0.503352,0.982441,1.0,0.509977,0.445356,0.979188,1.0,7,70.0,8,80.0
cs_neutral_004,neutral,Machine Learning,Unknown,Unknown,0.9,50,0.529359,0.42207,0.51863,0.999665,1.0,0.509977,0.445356,0.979188,1.0,8,80.0,8,80.0
cs_neutral_005,neutral,Machine Learning,Unknown,Unknown,0.3,50,0.55256,0.595079,0.582323,0.964547,1.0,0.682061,0.425934,0.992684,1.0,7,70.0,7,70.0
cs_neutral_005,neutral,Machine Learning,Unknown,Unknown,0.5,50,0.633212,0.519914,0.576563,0.966539,1.0,0.682061,0.425934,0.992684,1.0,7,70.0,7,70.0
cs_neutral_005,neutral,Machine Learning,Unknown,Unknown,0.7,50,0.702177,0.389842,0.608477,0.998699,1.0,0.682061,0.425934,0.992684,1.0,8,80.0,7,70.0
cs_neutral_005,neutral,Machine Learning,Unknown,Unknown,0.9,50,0.708131,0.357216,0.67304,0.999877,1.0,0.682061,0.425934,0.992684,1.0,8,80.0,7,70.0
cs_neutral_006,neutral,Machine Learning,Unknown,Unknown,0.3,50,0.46107,0.685294,0.618027,0.982028,1.0,0.607089,0.41136,0.979835,1.0,6,60.0,7,70.0
cs_neutral_006,neutral,Machine Learning,Unknown,Unknown,0.5,50,0.530583,0.628914,0.579749,0.956171,1.0,0.607089,0.41136,0.979835,1.0,5,50.0,7,70.0
cs_neutral_006,neutral,Machine Learning,Unknown,Unknown,0.7,50,0.613607,0.420665,0.555724,0.997322,1.0,0.607089,0.41136,0.979835,1.0,4,40.0,7,70.0
cs_neutral_006,neutral,Machine Learning,Unknown,Unknown,0.9,50,0.616913,0.395236,0.594745,0.999887,1.0,0.607089,0.41136,0.979835,1.0,6,60.0,7,70.0
cs_neutral_007,neutral,Machine Learning,Unknown,Unknown,0.3,50,0.370041,0.775828,0.654092,0.974157,1.0,0.589448,0.37124,0.997687,1.0,5,50.0,8,80.0
cs_neutral_007,neutral,Machine Learning,Unknown,Unknown,0.5,50,0.470302,0.685521,0.577912,0.953258,1.0,0.589448,0.37124,0.997687,1.0,9,90.0,8,80.0
cs_neutral_007,neutral,Machine Learning,Unknown,Unknown,0.7,50,0.56006,0.560311,0.560135,0.991372,1.0,0.589448,0.37124,0.997687,1.0,7,70.0,8,80.0
cs_neutral_007,neutral,Machine Learning,Unknown,Unknown,0.9,50,0.594945,0.360242,0.571475,0.999849,1.0,0.589448,0.37124,0.997687,1.0,8,80.0,8,80.0
cs_neutral_008,neutral,Machine Learning,Unknown,Unknown,0.3,50,0.472876,0.688635,0.623907,0.966471,1.0,0.560749,0.541894,0.993493,1.0,5,50.0,8,80.0
cs_neutral_008,neutral,Machine Learning,Unknown,Unknown,0.5,50,0.537843,0.612041,0.574942,0.990836,1.0,0.560749,0.541894,0.993493,1.0,7,70.0,8,80.0
cs_neutral_008,neutral,Machine Learning,Unknown,Unknown,0.7,50,0.557501,0.561301,0.558641,0.997629,1.0,0.560749,0.541894,0.993493,1.0,6,60.0,8,80.0
